metric_id,workbook_id,metric_name,metric_type,tableau_formula,lookml_sql,logic_complexity,definition_owner,parity_status,certification_status
MET025_06,WB025,Margin Rate,filtered_measure,SUM([Gross Margin]) / SUM([Net Sales]),"sum(${gross_margin}) / nullif(sum(${net_sales}),0)",Medium,Media Analytics,Fail,Owner review
MET025_07,WB025,Email Revenue Per Send,parameterized_measure,SUM([Email Revenue]) / SUM([Sends]),"sum(${email_revenue}) / nullif(sum(${sends}),0)",Medium,Media Analytics,Pass,Owner review
MET025_08,WB025,Conversion Rate,filtered_measure,SUM([Orders]) / SUM([Sessions]),"sum(${orders}) / nullif(sum(${sessions}),0)",High,Media Analytics,Pass,Certified
MET026_01,WB026,Margin Rate,parameterized_measure,SUM([Gross Margin]) / SUM([Net Sales]),"sum(${gross_margin}) / nullif(sum(${net_sales}),0)",Low,Client Reporting,Pass,Certified
MET026_02,WB026,Email Revenue Per Send,dimension_group,SUM([Email Revenue]) / SUM([Sends]),"sum(${email_revenue}) / nullif(sum(${sends}),0)",High,Client Reporting,Pass,Certified
MET026_03,WB026,Repeat Purchase Rate,filtered_measure,SUM([Repeat Customers]) / SUM([Customers]),"sum(${repeat_customers}) / nullif(sum(${customers}),0)",Medium,Client Reporting,Pass,Certified
MET026_04,WB026,Digital Shelf Availability,filtered_measure,AVG([In Stock Rate]),avg(${in_stock_rate}),High,Client Reporting,Pass,Draft
MET026_05,WB026,Qualified Visit Rate,dimension_group,SUM([Qualified Visits]) / SUM([Visits]),"sum(${qualified_visits}) / nullif(sum(${visits}),0)",High,Client Reporting,Tolerance review,Certified
MET026_06,WB026,Revenue,filtered_measure,sum(order_revenue),sum(${order_revenue}),High,Client Reporting,Pass,Certified
MET027_01,WB027,Margin Rate,parameterized_measure,SUM([Gross Margin]) / SUM([Net Sales]),"sum(${gross_margin}) / nullif(sum(${net_sales}),0)",Medium,Media Analytics,Tolerance review,Draft
MET027_02,WB027,Repeat Purchase Rate,dimension_group,SUM([Repeat Customers]) / SUM([Customers]),"sum(${repeat_customers}) / nullif(sum(${customers}),0)",Medium,Media Analytics,Pass,Draft
MET027_03,WB027,Email Revenue Per Send,measure,SUM([Email Revenue]) / SUM([Sends]),"sum(${email_revenue}) / nullif(sum(${sends}),0)",High,Media Analytics,Pass,Owner review
MET027_04,WB027,Revenue,dimension_group,sum(order_revenue),sum(${order_revenue}),High,Media Analytics,Tolerance review,Draft
MET027_05,WB027,ROAS,dimension_group,SUM([Media Revenue]) / SUM([Media Spend]),"sum(${media_revenue}) / nullif(sum(${media_spend}),0)",High,Media Analytics,Tolerance review,Certified
MET027_06,WB027,Qualified Visit Rate,filtered_measure,SUM([Qualified Visits]) / SUM([Visits]),"sum(${qualified_visits}) / nullif(sum(${visits}),0)",High,Media Analytics,Pass,Certified
MET027_07,WB027,Digital Shelf Availability,measure,AVG([In Stock Rate]),avg(${in_stock_rate}),Medium,Media Analytics,Pass,Owner review
MET028_01,WB028,Margin Rate,measure,SUM([Gross Margin]) / SUM([Net Sales]),"sum(${gross_margin}) / nullif(sum(${net_sales}),0)",Medium,Commerce Analytics,Pass,Owner review
MET028_02,WB028,Email Revenue Per Send,measure,SUM([Email Revenue]) / SUM([Sends]),"sum(${email_revenue}) / nullif(sum(${sends}),0)",Medium,Commerce Analytics,Pass,Owner review
MET028_03,WB028,Revenue,dimension_group,sum(order_revenue),sum(${order_revenue}),Medium,Commerce Analytics,Tolerance review,Certified
MET028_04,WB028,Digital Shelf Availability,parameterized_measure,AVG([In Stock Rate]),avg(${in_stock_rate}),Medium,Commerce Analytics,Pass,Draft
MET028_05,WB028,Conversion Rate,dimension_group,SUM([Orders]) / SUM([Sessions]),"sum(${orders}) / nullif(sum(${sessions}),0)",Medium,Commerce Analytics,Pass,Certified
MET028_06,WB028,Repeat Purchase Rate,parameterized_measure,SUM([Repeat Customers]) / SUM([Customers]),"sum(${repeat_customers}) / nullif(sum(${customers}),0)",Medium,Commerce Analytics,Fail,Certified
MET029_01,WB029,Revenue,parameterized_measure,sum(order_revenue),sum(${order_revenue}),High,Media Analytics,Pass,Draft
MET029_02,WB029,Digital Shelf Availability,parameterized_measure,AVG([In Stock Rate]),avg(${in_stock_rate}),Medium,Media Analytics,Fail,Certified
MET029_03,WB029,ROAS,measure,SUM([Media Revenue]) / SUM([Media Spend]),"sum(${media_revenue}) / nullif(sum(${media_spend}),0)",High,Media Analytics,Tolerance review,Certified
MET029_04,WB029,Margin Rate,measure,SUM([Gross Margin]) / SUM([Net Sales]),"sum(${gross_margin}) / nullif(sum(${net_sales}),0)",Medium,Media Analytics,Pass,Draft
MET029_05,WB029,Repeat Purchase Rate,filtered_measure,SUM([Repeat Customers]) / SUM([Customers]),"sum(${repeat_customers}) / nullif(sum(${customers}),0)",High,Media Analytics,Fail,Draft
MET029_06,WB029,Email Revenue Per Send,parameterized_measure,SUM([Email Revenue]) / SUM([Sends]),"sum(${email_revenue}) / nullif(sum(${sends}),0)",Medium,Media Analytics,Tolerance review,Draft
MET030_01,WB030,Conversion Rate,dimension_group,SUM([Orders]) / SUM([Sessions]),"sum(${orders}) / nullif(sum(${sessions}),0)",High,BI Platform,Tolerance review,Draft
MET030_02,WB030,Revenue,measure,sum(order_revenue),sum(${order_revenue}),Medium,BI Platform,Pass,Certified
MET030_03,WB030,Email Revenue Per Send,dimension_group,SUM([Email Revenue]) / SUM([Sends]),"sum(${email_revenue}) / nullif(sum(${sends}),0)",Medium,BI Platform,Tolerance review,Owner review
MET030_04,WB030,Margin Rate,filtered_measure,SUM([Gross Margin]) / SUM([Net Sales]),"sum(${gross_margin}) / nullif(sum(${net_sales}),0)",Medium,BI Platform,Pass,Owner review
MET030_05,WB030,ROAS,parameterized_measure,SUM([Media Revenue]) / SUM([Media Spend]),"sum(${media_revenue}) / nullif(sum(${media_spend}),0)",Low,BI Platform,Pass,Draft
MET030_06,WB030,Repeat Purchase Rate,measure,SUM([Repeat Customers]) / SUM([Customers]),"sum(${repeat_customers}) / nullif(sum(${customers}),0)",High,BI Platform,Pass,Certified
MET030_07,WB030,Digital Shelf Availability,parameterized_measure,AVG([In Stock Rate]),avg(${in_stock_rate}),Medium,BI Platform,Tolerance review,Draft
MET031_01,WB031,ROAS,filtered_measure,SUM([Media Revenue]) / SUM([Media Spend]),"sum(${media_revenue}) / nullif(sum(${media_spend}),0)",Medium,BI Platform,Pass,Certified
MET031_02,WB031,Digital Shelf Availability,measure,AVG([In Stock Rate]),avg(${in_stock_rate}),Medium,BI Platform,Pass,Owner review
MET031_03,WB031,Qualified Visit Rate,measure,SUM([Qualified Visits]) / SUM([Visits]),"sum(${qualified_visits}) / nullif(sum(${visits}),0)",Medium,BI Platform,Tolerance review,Certified
MET031_04,WB031,Conversion Rate,filtered_measure,SUM([Orders]) / SUM([Sessions]),"sum(${orders}) / nullif(sum(${sessions}),0)",Medium,BI Platform,Pass,Owner review
MET031_05,WB031,Repeat Purchase Rate,parameterized_measure,SUM([Repeat Customers]) / SUM([Customers]),"sum(${repeat_customers}) / nullif(sum(${customers}),0)",Medium,BI Platform,Fail,Certified
MET031_06,WB031,Email Revenue Per Send,dimension_group,SUM([Email Revenue]) / SUM([Sends]),"sum(${email_revenue}) / nullif(sum(${sends}),0)",Medium,BI Platform,Pass,Certified
MET032_01,WB032,Conversion Rate,dimension_group,SUM([Orders]) / SUM([Sessions]),"sum(${orders}) / nullif(sum(${sessions}),0)",Low,Media Analytics,Pass,Owner review
MET032_02,WB032,Margin Rate,dimension_group,SUM([Gross Margin]) / SUM([Net Sales]),"sum(${gross_margin}) / nullif(sum(${net_sales}),0)",Medium,Media Analytics,Pass,Owner review
MET032_03,WB032,Digital Shelf Availability,dimension_group,AVG([In Stock Rate]),avg(${in_stock_rate}),Low,Media Analytics,Pass,Certified
MET032_04,WB032,ROAS,filtered_measure,SUM([Media Revenue]) / SUM([Media Spend]),"sum(${media_revenue}) / nullif(sum(${media_spend}),0)",Low,Media Analytics,Fail,Certified
MET032_05,WB032,Repeat Purchase Rate,measure,SUM([Repeat Customers]) / SUM([Customers]),"sum(${repeat_customers}) / nullif(sum(${customers}),0)",High,Media Analytics,Fail,Draft
MET033_01,WB033,Margin Rate,measure,SUM([Gross Margin]) / SUM([Net Sales]),"sum(${gross_margin}) / nullif(sum(${net_sales}),0)",Medium,Client Reporting,Tolerance review,Owner review
MET033_02,WB033,Conversion Rate,measure,SUM([Orders]) / SUM([Sessions]),"sum(${orders}) / nullif(sum(${sessions}),0)",Medium,Client Reporting,Tolerance review,Certified
MET033_03,WB033,Revenue,dimension_group,sum(order_revenue),sum(${order_revenue}),High,Client Reporting,Pass,Certified
MET033_04,WB033,Digital Shelf Availability,measure,AVG([In Stock Rate]),avg(${in_stock_rate}),High,Client Reporting,Pass,Owner review
MET033_05,WB033,Repeat Purchase Rate,filtered_measure,SUM([Repeat Customers]) / SUM([Customers]),"sum(${repeat_customers}) / nullif(sum(${customers}),0)",Medium,Client Reporting,Pass,Certified
MET033_06,WB033,Email Revenue Per Send,filtered_measure,SUM([Email Revenue]) / SUM([Sends]),"sum(${email_revenue}) / nullif(sum(${sends}),0)",Low,Client Reporting,Pass,Certified
MET033_07,WB033,ROAS,filtered_measure,SUM([Media Revenue]) / SUM([Media Spend]),"sum(${media_revenue}) / nullif(sum(${media_spend}),0)",Medium,Client Reporting,Pass,Draft
MET033_08,WB033,Qualified Visit Rate,parameterized_measure,SUM([Qualified Visits]) / SUM([Visits]),"sum(${qualified_visits}) / nullif(sum(${visits}),0)",Medium,Client Reporting,Pass,Certified
MET034_01,WB034,Email Revenue Per Send,filtered_measure,SUM([Email Revenue]) / SUM([Sends]),"sum(${email_revenue}) / nullif(sum(${sends}),0)",Medium,BI Platform,Pass,Certified
MET034_02,WB034,Repeat Purchase Rate,measure,SUM([Repeat Customers]) / SUM([Customers]),"sum(${repeat_customers}) / nullif(sum(${customers}),0)",Medium,BI Platform,Tolerance review,Owner review
MET034_03,WB034,Conversion Rate,dimension_group,SUM([Orders]) / SUM([Sessions]),"sum(${orders}) / nullif(sum(${sessions}),0)",Low,BI Platform,Pass,Draft
MET034_04,WB034,Digital Shelf Availability,dimension_group,AVG([In Stock Rate]),avg(${in_stock_rate}),Medium,BI Platform,Fail,Owner review
MET034_05,WB034,Revenue,filtered_measure,sum(order_revenue),sum(${order_revenue}),Low,BI Platform,Tolerance review,Certified
MET035_01,WB035,Conversion Rate,filtered_measure,SUM([Orders]) / SUM([Sessions]),"sum(${orders}) / nullif(sum(${sessions}),0)",High,Client Reporting,Pass,Owner review
MET035_02,WB035,Margin Rate,filtered_measure,SUM([Gross Margin]) / SUM([Net Sales]),"sum(${gross_margin}) / nullif(sum(${net_sales}),0)",High,Client Reporting,Fail,Owner review
MET035_03,WB035,Qualified Visit Rate,measure,SUM([Qualified Visits]) / SUM([Visits]),"sum(${qualified_visits}) / nullif(sum(${visits}),0)",Medium,Client Reporting,Pass,Certified
MET035_04,WB035,Email Revenue Per Send,filtered_measure,SUM([Email Revenue]) / SUM([Sends]),"sum(${email_revenue}) / nullif(sum(${sends}),0)",Medium,Client Reporting,Pass,Owner review
MET035_05,WB035,Digital Shelf Availability,parameterized_measure,AVG([In Stock Rate]),avg(${in_stock_rate}),Medium,Client Reporting,Pass,Owner review
MET035_06,WB035,Repeat Purchase Rate,parameterized_measure,SUM([Repeat Customers]) / SUM([Customers]),"sum(${repeat_customers}) / nullif(sum(${customers}),0)",High,Client Reporting,Tolerance review,Certified
MET035_07,WB035,ROAS,dimension_group,SUM([Media Revenue]) / SUM([Media Spend]),"sum(${media_revenue}) / nullif(sum(${media_spend}),0)",Low,Client Reporting,Pass,Owner review
MET035_08,WB035,Revenue,measure,sum(order_revenue),sum(${order_revenue}),High,Client Reporting,Tolerance review,Certified
MET036_01,WB036,Conversion Rate,measure,SUM([Orders]) / SUM([Sessions]),"sum(${orders}) / nullif(sum(${sessions}),0)",Low,Commerce Analytics,Pass,Certified
MET036_02,WB036,Revenue,filtered_measure,sum(order_revenue),sum(${order_revenue}),Low,Commerce Analytics,Pass,Owner review
MET036_03,WB036,Qualified Visit Rate,filtered_measure,SUM([Qualified Visits]) / SUM([Visits]),"sum(${qualified_visits}) / nullif(sum(${visits}),0)",High,Commerce Analytics,Pass,Owner review
MET036_04,WB036,Email Revenue Per Send,dimension_group,SUM([Email Revenue]) / SUM([Sends]),"sum(${email_revenue}) / nullif(sum(${sends}),0)",High,Commerce Analytics,Pass,Certified
